LDTS,125A0205-QIC,125A0252-UI,125A0252-UI_A50,125A0254-FI,125A0255-XI,125A0266-PIC,125A0270-TIC,125A0272-FIC_A3,125A0285-WI,125A0292-FIC_A2,125A0321-WI,125A0406-QI1,126A0125-UI,126A0164-UI,126A0159-HS,126A0013-QIC,126A0015-QI,126A0020-FIC_A30,126A0103-QI_A1,126A0103-QI_A3,126A0171-HS,126A0043-SI,126A0044-WIC,126A0045-PIC,126A0051-FIC_A3,126A0053-TIC,126A0054-FIC_A3,126A0077-QT1,126A0077-QT2,126A0079-QT,126A0081-FIC_A3,126A0116-QI,126A0118-QI,126A0129-QI,126A0174-QIC,126A0224-FIC_A3,126A0226-FIC_A3,126A0228-FIC_A3,126A0231-TIC,126A0251-QI,126A0288-PICZ,126A0299-FIC_A1,126A0317-QI_A1,126A0317-QI_A3,126A0320-PDIC,126A0545-QI1,126A0547-QIC,126A0202-PIC,126A0252-QI,126A0269-SI,126A0270-WIC,126A0271-PIC,126A0272-PIC,126A0277-FIC_A3,126A0279-TIC,126A0280-FIC_A3,126A0286-QI,126A0287-FIC_A1,126A0300-PDIC,126A0316-QI,126A0318-QI,126A0333-QI,126A0405-PIC,126A0406-FIC_A30,126A0409-FIC_A30,126A0414-TIC,126A0503-QI_A1,126A0503-QI_A3,126A0546-QI1,126A0548-QIC,126A0435-SI,126A0436-WIC,126A0443-FIC_A3,126A0446-FIC_A3,126A0450-QT1,126A0450-QT2,126A0503-QI_A2,126A0504-TIC,126A0516-QI,126A0519-QI,126A0534-QIC,126A0535-QIC,126A0466-QI
2021-06-11T12:31:45.5330000,7.58497858,,3.30555463,14.0322189,2.53029752,61.1364403,24.8969994,0.125908643,201.822983,2.94542623,197.399139,7.35736799,195.077209,,27.2325306,10.9354315,10.8611021,60.0,0.0,0.0160588678,0.0,2.0999999,100.0,0.407283783,0.38946113,0.37978065,66.6676407,156.962326,78.3500214,2.48783994,60.0,6.84446001,11.827651,2.69055796,9.17162514,19.9987793,2.97123194,4.94825745,0.224964231,0.0,10.1939917,6.88122225,4.0034399,0.0,8.82974434,67.2102966,11.0784931,4.42346239,0.0,2.82915187,286.978943,0.296041965,0.296041965,0.296995699,0.290796369,3.89276195,10.1988554,0.529835463,100.0,94.6860962,12.6575766,10.125083,25.2418594,0.0,4.43774605,13.0422602,31.595396,13.2376194,85.5078659,4.43507814,2.88250637,389.913239,3.32623959,3.73150873,108.130661,76.1802521,1.49880004,62.6752472,0.495112956,13.3618031,5.12274694,2.84206009,89.4601822
2021-06-11T13:31:56.2130000,8.03691006,,3.37465715,14.0838861,2.5926168,63.2649384,28.27845,0.131546363,202.914063,2.9971559,197.637192,7.34878445,186.157532,,27.2090111,10.928565,10.1103888,60.0,0.0,0.0534103364,0.0,2.0999999,100.0,0.385007352,0.362422496,0.360753447,66.6627655,149.594666,79.0319519,2.51816893,60.0,6.29433346,11.9608822,2.82618022,9.35700321,19.9987793,3.07243419,4.97285604,0.22474964,0.0,10.1988554,6.73746252,3.69200802,0.0,8.86297417,66.5569839,11.1312351,4.42918444,0.0,2.7766974,317.444122,0.311158806,0.311158806,0.337863624,0.351740569,3.84348989,10.1470671,0.529165506,100.0,94.6519699,12.895936,10.0353842,23.5267181,0.0,4.03664351,13.2391071,32.0865593,13.5869284,86.6475906,4.43311119,2.86089444,392.416656,3.31230211,3.65801907,107.939919,76.9241791,1.45220006,64.5731964,0.749691784,13.2116776,4.98826933,2.94735336,89.9646606
2021-06-11T14:31:45.7200000,8.33390522,,3.31804824,14.0182524,2.67596126,64.302536,30.8206425,0.131560609,201.366714,2.9971559,193.709305,7.2949934,179.943771,,27.1080608,10.7752028,10.6783514,60.0,0.0,0.0209324975,0.0,2.0999999,100.0,0.405620128,0.390653312,0.377730101,72.5078506,151.669052,78.7172165,2.52989984,60.0,8.29357815,11.8074722,2.82575107,9.30630589,19.9987793,2.98726368,4.94727755,0.22198379,0.0,10.1470671,7.09533405,3.41015029,0.0,9.02649689,67.7539291,11.1038628,4.35646152,0.0,2.73482442,274.319702,0.299141616,0.299141616,0.313257039,0.32360515,3.94812989,10.0157366,0.522241294,100.0,94.0577164,13.4571142,9.90634251,25.8278141,0.0,3.7262013,13.2870951,32.3782463,14.4142141,86.9670944,4.29437017,2.96557784,380.560699,3.31649852,3.61948252,102.312828,76.1564102,1.44790006,63.023365,0.551182866,13.0689259,5.43233204,2.90557957,89.5442657
2021-06-11T15:31:45.6900000,7.90858364,,3.08636999,13.9829512,2.6559999,65.0903244,44.1450233,0.123946965,195.0186,2.99431157,202.318924,7.37281847,174.122162,,27.0124779,10.83319,10.4772348,60.0,0.0,0.0144059025,0.0,2.0999999,100.0,0.412203312,0.398998559,0.406103969,73.6626434,150.119217,79.0224075,2.54763961,60.0,7.17102957,12.0416203,2.84763956,9.31616211,19.9987793,2.89207411,4.92316246,0.229422987,0.0,10.0157366,7.00533676,3.35482454,0.0,8.92635345,67.6299438,11.0651407,4.16738224,81.6343155,2.84536076,302.973541,0.262374818,0.262374818,3.85030293,86.342392,3.62381434,9.94306183,0.567280471,1.53383017,4.4157877,12.9348831,9.93676662,8.35965633,3.77704549,0.296303809,80.5293274,1.99701273,0.0,86.6571274,4.3844862,2.87147546,380.057037,3.31689453,3.7073586,102.956604,76.6094437,1.44319999,63.0281334,0.637432277,12.8418522,5.27782583,2.92646646,89.5498581
2021-06-11T16:31:46.8030000,7.98497868,,2.97128034,13.8777361,2.41463447,74.2055893,62.3706779,0.117372125,202.87439,3.04470038,198.252151,7.58283281,166.818527,,26.2318535,10.9636621,10.0842857,60.0,0.0,0.0235174373,0.0,2.97503281,280.32608,0.369149774,1.70768249,79.0605621,4.41488218,145.827377,79.2370071,2.61058664,0.300513059,7.33476877,12.3710938,2.91201711,9.52537155,9.39679813,2.48221779,4.8870492,77.2532196,2.06459641,11.3128023,10.0,2.0257206,0.0,9.03425694,67.8922272,11.1372433,4.21745348,82.0198898,2.76949334,292.894775,0.281497389,0.281497389,3.86322117,87.1006165,3.75966763,9.93934155,0.571920514,1.55453098,4.38128948,13.2897902,9.85546017,8.21716785,3.69795799,0.29780969,80.5197906,2.01575136,0.0,86.0658035,4.34317589,2.90952158,365.462646,3.31191134,3.69858885,103.218887,76.3853073,1.49039996,63.4763947,0.539999366,12.6483784,5.10815477,2.91387701,90.0581512
2021-06-11T17:31:45.2770000,8.09613705,3705.89941,3.12828612,13.8708172,2.32822871,7.38807821,88.0,0.115622148,196.427078,2.94200969,198.549744,7.09699583,164.569183,0.0,26.413353,10.9373388,10.2588062,12.6379299,2.04475093,0.0214197915,0.0,2.96355176,279.847534,0.368773043,1.70830214,79.1273193,4.48155785,153.457321,79.0081024,2.62947083,0.303287983,8.6689043,12.4195518,2.97339058,9.36095428,9.65564346,2.30488825,4.90330124,77.4306183,1.99662924,11.2511158,20.0,2.04869485,0.0,8.87309742,67.1244583,11.1659508,4.47711039,81.0858688,2.8816061,294.193207,0.323557466,0.323557466,3.82064676,86.1421051,3.7936492,9.96337605,0.558955789,1.5741055,4.66413021,13.1172018,9.92260361,8.26952839,3.75993204,0.30227682,80.5579376,1.99160588,0.0,85.2169724,4.51212025,3.03581715,383.555939,3.30440402,3.71796346,100.858368,76.2184067,1.46029997,63.304718,0.426288962,12.774538,5.00887012,3.05808306,89.7408524
2021-06-11T18:31:45.7400000,8.00686741,3742.28369,2.96385527,14.0217772,2.29799509,7.08135414,88.0,0.119439721,195.851776,2.99008846,190.852646,7.14449263,164.276855,0.0,26.5357323,10.8957558,10.3048916,12.7345896,2.08941293,0.0471594408,0.0,2.98786521,280.717926,0.338177055,1.82315052,79.0653305,4.47446442,167.668106,78.9747238,2.57052946,0.29706189,7.79727554,12.6507072,2.90386271,9.30127048,9.55790806,2.05594516,4.88975143,77.7396317,2.02312136,11.3623962,30.0,2.00633407,0.0,8.96878052,67.4773483,11.249404,4.31139755,80.7337799,2.89443827,279.940216,0.311444908,0.311444908,3.83203125,86.4663773,3.72566724,10.0134478,0.521301687,1.49391103,4.58976936,13.0601425,9.95355225,8.26266098,3.80830336,0.100758947,79.5755844,2.02167964,0.0,85.1120605,4.56156254,2.99191737,399.751221,3.30649281,3.72562885,100.882217,76.2899399,1.49440002,63.2618027,0.568426013,13.3055315,5.27610874,3.09155941,89.8096466
2021-06-11T19:31:56.6030000,7.99527884,3792.38599,3.00926995,13.9660225,2.32676888,7.40715313,88.0,0.11723806,197.280106,3.00997305,189.642532,7.19370556,161.317017,0.0,26.0213165,10.8297567,10.3134661,12.7171564,2.06703711,0.0273493044,0.0,3.10920787,285.447723,0.324423283,1.8579545,79.0700989,4.47984409,138.936584,78.9413452,2.57195997,0.304360598,7.72530127,12.1580095,2.93519306,9.38079262,9.65483093,2.01776075,5.01194525,77.5908432,2.03852987,11.0340977,30.0,2.02778435,0.0,8.78881645,67.081543,11.235384,4.43490696,80.305069,2.85031366,285.177887,0.28731522,0.28731522,3.83919072,86.4711456,3.66453409,10.1110163,0.485871255,1.5081979,4.58058929,13.2621374,10.0306625,8.32446384,3.8261342,0.0985388979,79.5946579,2.02127886,0.0,84.9403915,4.58196974,2.92145324,364.408478,3.33966947,3.73890185,102.384361,76.7000427,1.50740004,64.3586044,0.533997297,12.6476698,5.07010031,3.07496428,89.4740448
2021-06-11T20:32:06.5870000,8.04291821,3651.72485,3.27764106,13.8601084,2.32384968,7.26981401,88.0,0.110328972,195.792267,3.0317924,188.948212,7.10958529,156.815689,0.0,25.8337669,10.9030046,10.3507509,12.79566,2.03199673,0.00587017508,0.0,3.11055875,274.367249,0.316417426,1.83145392,79.0557938,4.61872196,145.13591,78.8793488,2.58140206,0.296391696,7.0428853,12.1525593,2.90557933,9.40413761,9.65354156,1.99328315,4.89981413,77.6709595,2.06935763,11.2167883,30.0,2.05671525,0.0,8.97855186,67.2007599,11.2487364,4.50619936,79.831749,2.89151168,293.651093,0.314210773,0.314210773,3.83577013,85.4887924,4.03809786,10.0866957,0.48195374,1.53080487,4.00933027,13.0715332,10.0138769,8.3313303,3.83769035,0.0990428254,80.5817795,2.01556516,0.0,84.8545532,4.58961773,2.83117795,369.477753,3.31815815,3.74024463,103.98188,76.6857376,1.46650004,64.515976,0.373048544,12.9573536,5.24549389,3.09241772,89.5663834
2021-06-11T21:31:45.7430000,8.04077244,3542.59521,3.17920709,14.0419416,2.44140577,7.680305,88.0,0.122093983,193.054657,2.99821949,202.834702,7.13934231,156.591492,0.0,26.0492821,11.1185503,10.782979,13.1969643,2.1126852,0.0139941294,0.0,3.03244019,274.796509,0.355268538,1.80663741,79.0557938,4.45861197,159.847397,78.6456833,2.45350504,0.29394272,7.66475487,12.4640512,2.84377694,9.4006176,9.74970245,1.97523355,4.8929491,77.4191742,1.95641053,11.3097935,30.0,2.00411868,0.0,9.02692223,67.1864548,11.2433949,4.30305195,79.6509018,3.02343512,290.499664,0.35717693,0.35717693,3.79164457,83.4382401,3.76497269,10.0572243,0.508948505,1.56637001,4.84761429,12.5023994,10.0243683,8.38197422,3.82828236,0.100020282,79.6709595,2.03820825,0.0137271518,84.4778214,4.63272476,3.08737063,387.599731,3.28747511,3.68273711,102.694328,77.0863113,1.49370003,65.4172592,0.447835475,12.8645678,5.53934193,3.11559391,89.940239
